index,volume,t,delta_p1,delta_p2
1,5.33,15.4,35570,30100
2,3.78,15.8,17260,14400
3,2.76,15.9,8940,7000
4,1.93,16.1,4270,2900
5,1.38,16.3,2090,1000
6,1,16.4,1020,0
