index,volume,t,delta_p1,delta_p2
1,5.97,22.1,10840,47200
2,4.12,22.2,5480,22100
3,2.86,22.4,3290,10100
4,2.05,22.4,1640,4600
5,1.43,22.4,940,1800
6,1.02,22.5,580,500
