index,volume,t,delta_p1,delta_p2
1,5.3,22.5,8760,96300
2,3.78,22.6,4830,48300
3,2.74,22.6,2720,24800
4,1.95,22.7,1590,12100
5,1.43,22.7,930,6100
6,0.99,22.8,600,2500
