index,volume,t,delta_p1,delta_p2
1,4.04,22.8,5420,176500
2,3.02,22.9,3260,96500
3,2.33,22.9,2030,57100
4,1.76,22.9,1260,32400
5,1.31,23.1,820,17500
6,1.02,23.1,570,10200
