index,volume,t,delta_p1,delta_p2
1,4.23,17.7,22420,125600
2,3.18,18,12250,69500
3,2.38,18.1,6640,38100
4,1.81,18.3,3760,21500
5,1.36,18.4,1980,11800
6,1.01,18.6,1050,6200
