index,volume,t,delta_p1,delta_p2
1,3.28,18.6,13140,193800
2,2.62,18.7,8180,123300
3,2.07,18.9,5080,76800
4,1.62,19,2940,46600
5,1.3,19.1,1820,29400
6,1.01,19.2,1070,17600
