index,volume,t,delta_p1,delta_p2
1,6.3,21.5,11940,21100
2,4.35,21.7,6360,9900
3,3.05,21.8,3400,4400
4,2.1,21.9,1730,1700
5,1.45,22,950,300
6,1.02,22,630,0
